Number,Type,Release date,Source,Short,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/Mh
24,GPU,6/2/2015,https://en.wikipedia.org/wiki/GeForce_900_series,980TI,5/7/2018,NVIDIA,GeForce GTX 980 Ti,24,250,0.09,10.63829787
25,GPU,8/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-nano-ethereum-mining/,R9,5/7/2018,AMD,Radeon R9 Nano,23,175,0.13,7.608695652
26,GPU,11/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380x-ethereum-mining/,"R9, 380X",5/7/2018,AMD,Radeon R9 380x,18,200,0.09,11.11111111
27,GPU,5/27/2016,https://www.buriedone.com/hashrates.html,1080,5/7/2018,NVIDIA,GeForce GTX 1080  ,27,180,0.15,6.666666667
28,GPU,6/1/2016,https://www.cryptocompare.com/mining/amd/radeon-rx-480-ethereum-mining/,480,5/7/2018,AMD,Radeon Rx 480,25,150,0.17,6
29,GPU,6/10/2016,https://www.techradar.com/news/best-mining-gpu,1070,5/7/2018,NVIDIA,GeForce GTX 1070,30,150,0.20,5
30,GPU,8/1/2016,https://www.buriedone.com/hashrates.html,460,5/7/2018,AMD,Radeon RX 460,13,75,0.17,5.769230769
31,GPU,8/1/2016,https://www.cryptocompare.com/mining/amd/radeon-rx-470-ethereum-mining/,470,5/7/2018,AMD,Radeon RX 470 ,24,150,0.16,6.25
32,GPU,8/18/2016,https://www.buriedone.com/hashrates.html,1060,5/7/2018,NVIDIA,GeForce GTX 1060,24,120,0.20,5
33,GPU,10/25/2016,https://www.buriedone.com/hashrates.html,1050TI,5/7/2018,NVIDIA,Radeon GTX 1050 Ti,15,75,0.20,5
34,GPU,3/10/2017,https://www.buriedone.com/hashrates.html,1080TI,5/7/2018,NVIDIA,GeForce GTX 1080 Ti,37,250,0.15,6.756756757
