Date,EECI
2018/3/11,15.83416341
2018/3/12,15.89590386
2018/3/13,15.95595502
2018/3/14,16.01024739
2018/3/15,16.06034276
2018/3/16,16.11116912
2018/3/17,16.19497763
2018/3/18,16.23536689
2018/3/19,16.27876968
2018/3/20,16.32279339
2018/3/21,16.36772862
2018/3/22,16.41278838
2018/3/23,16.492128
2018/3/24,16.53311599
2018/3/25,16.57638878
2018/3/26,16.61477511
2018/3/27,16.64925872
2018/3/28,16.68308311
2018/3/29,16.75019284
2018/3/30,16.77761937
2018/3/31,16.80598436
2018/4/01,16.83222045
2018/4/02,16.85917579
2018/4/03,16.88818598
2018/4/04,16.95372201
2018/4/05,16.98004183
2018/4/06,17.00547811
2018/4/07,17.03231547
2018/4/08,17.06074504
2018/4/09,17.08955601
2018/4/10,17.15817889
2018/4/11,17.18920271
2018/4/12,17.22425638
2018/4/13,17.26404945
2018/4/14,17.30362623
2018/4/15,17.34514241
2018/4/16,17.42522305
2018/4/17,17.46570499
2018/4/18,17.50688248
2018/4/19,17.55143992
2018/4/20,17.60007028
2018/4/22,17.65279404
2018/4/24,17.84928092
2018/4/25,17.80663988
2018/4/26,17.8604268
2018/4/27,17.91696297
2018/4/28,17.97520505
2018/4/29,18.03333566
2018/4/30,18.09039035
2018/5/01,18.18755201
2018/5/02,18.24555883
2018/5/03,18.3103875
2018/5/04,18.37962268
2018/5/05,18.45180931
2018/5/06,18.52021043
2018/5/07,18.62631179
2018/5/08,18.67762266
2018/5/09,18.72864005
2018/5/10,18.77923407
2018/5/11,18.82241106
2018/5/12,18.86340123
2018/5/13,18.95041972
2018/5/14,18.99631129
2018/5/15,19.04195315
2018/5/16,19.0855156
2018/5/17,19.12797988
2018/5/18,19.1682091
2018/5/19,19.2511375
2018/5/20,19.29560244
2018/5/21,19.33862582
2018/5/22,19.37769122
2018/5/23,19.40971376
2018/5/24,19.43978512
2018/5/25,19.5119278
2018/5/26,19.54322222
2018/5/27,19.57167843
2018/5/28,19.59543513
2018/5/29,19.62152818
2018/5/30,19.64833268
2018/5/31,19.71911124
2018/6/01,19.74708742
2018/6/02,19.77619805
2018/6/03,19.80761001
2018/6/04,19.83664288
2018/6/05,19.86591377
